head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
10,26,1.556169497519737e-05,-8.958082456518696e-10,29,attn:26-10,attn,0.4482758620689655,ceo_lastname
11,26,0.00018019650368530712,2.567913003782247e-07,29,attn:26-11,attn,0.6206896551724138,ceo_lastname
12,26,0.0038169886423240888,0.00027435820736942224,29,attn:26-12,attn,0.7931034482758621,ceo_lastname
13,26,0.014515356742654527,0.002506942178742719,29,attn:26-13,attn,0.8275862068965517,ceo_lastname
14,26,-0.0009126863776141277,-0.0005160246000840136,29,attn:26-14,attn,0.3448275862068966,ceo_lastname
15,26,-0.020294471387942044,-0.011661602576659394,29,attn:26-15,attn,0.13793103448275862,ceo_lastname
16,26,0.00010163488790921672,0.0,29,attn:26-16,attn,0.4827586206896552,ceo_lastname
17,26,-5.134667067904963e-05,-1.1024084367086542e-05,29,attn:26-17,attn,0.3793103448275862,ceo_lastname
18,26,0.0001025499194800904,1.373089751756553e-08,29,attn:26-18,attn,0.5862068965517241,ceo_lastname
19,26,0.0009406531878960085,0.0006941874672491544,29,attn:26-19,attn,0.7931034482758621,ceo_lastname
2,26,-0.0002703756726123297,-0.00011959127188847235,29,attn:26-2,attn,0.1724137931034483,ceo_lastname
20,26,-0.00011572996293195659,0.0,29,attn:26-20,attn,0.4827586206896552,ceo_lastname
21,26,0.00015077436978268218,1.0327461953101387e-07,29,attn:26-21,attn,0.5862068965517241,ceo_lastname
22,26,-0.001086587155407611,-0.00038611897983169264,29,attn:26-22,attn,0.20689655172413793,ceo_lastname
23,26,0.003613567647004373,3.221984329952506e-08,29,attn:26-23,attn,0.5862068965517241,ceo_lastname
24,26,6.020138889930372e-05,-5.477738599401249e-09,29,attn:26-24,attn,0.3448275862068966,ceo_lastname
25,26,2.0108650684267814e-05,-9.70225248178482e-09,29,attn:26-25,attn,0.3448275862068966,ceo_lastname
26,26,-0.00032496785207548743,5.84032876267813e-09,29,attn:26-26,attn,0.5517241379310345,ceo_lastname
27,26,0.0009151317697912039,0.0004672839606329094,29,attn:26-27,attn,0.6896551724137931,ceo_lastname
28,26,-0.0003651581710523571,-1.0427556494487902e-05,29,attn:26-28,attn,0.3103448275862069,ceo_lastname
29,26,0.010655262618906276,0.0011494230602145444,29,attn:26-29,attn,0.6551724137931034,ceo_lastname
3,26,0.02477899843667955,0.024579526731778652,29,attn:26-3,attn,1.0,ceo_lastname
30,26,0.0008775557189875663,0.000679670792681034,29,attn:26-30,attn,0.6896551724137931,ceo_lastname
31,26,0.0030110187149696662,0.0,29,attn:26-31,attn,0.4827586206896552,ceo_lastname
4,26,-0.00010551245422386492,-8.760493144017194e-09,29,attn:26-4,attn,0.3793103448275862,ceo_lastname
5,26,1.8749778178955463e-06,0.0,29,attn:26-5,attn,0.4827586206896552,ceo_lastname
6,26,3.1162130111257174e-05,1.7926208441515843e-09,29,attn:26-6,attn,0.5172413793103449,ceo_lastname
7,26,8.691934649558152e-05,0.0,29,attn:26-7,attn,0.4827586206896552,ceo_lastname
8,26,1.3010452492877764e-05,0.0,29,attn:26-8,attn,0.4827586206896552,ceo_lastname
9,26,0.00013496049144701196,2.1923546840080804e-09,29,attn:26-9,attn,0.5172413793103449,ceo_lastname
0,27,-5.632565546280153e-06,1.0955477198802499e-09,29,attn:27-0,attn,0.5172413793103449,ceo_lastname
1,27,2.2833890496883243e-05,-2.735385191454204e-07,29,attn:27-1,attn,0.3448275862068966,ceo_lastname
10,27,-5.7657518091431166e-05,-4.384709368016161e-09,29,attn:27-10,attn,0.4482758620689655,ceo_lastname
11,27,-0.00035174629483833837,-0.00032287439443072757,29,attn:27-11,attn,0.2413793103448276,ceo_lastname
12,27,0.00013873734598531366,-1.0592641967336543e-08,29,attn:27-12,attn,0.27586206896551724,ceo_lastname
13,27,-7.377745357059202e-06,4.076775749482298e-09,29,attn:27-13,attn,0.5517241379310345,ceo_lastname
14,27,0.00030534941832261137,-1.7121622026679094e-09,29,attn:27-14,attn,0.4482758620689655,ceo_lastname
15,27,-0.00014442616585756977,0.0,29,attn:27-15,attn,0.4827586206896552,ceo_lastname
16,27,0.0035093179520807585,0.0016950681602111734,29,attn:27-16,attn,0.8620689655172413,ceo_lastname
17,27,9.006458509518378e-05,-2.8478158040861792e-08,29,attn:27-17,attn,0.3448275862068966,ceo_lastname
18,27,-0.0002668932818625738,0.0,29,attn:27-18,attn,0.4827586206896552,ceo_lastname
19,27,6.338615580154173e-05,5.9467151361428334e-08,29,attn:27-19,attn,0.5862068965517241,ceo_lastname
2,27,-0.00018417727908283393,-8.958082456518696e-10,29,attn:27-2,attn,0.4482758620689655,ceo_lastname
