layer,mean_margin_recovery,median_margin_recovery,n,position_group,positive_fraction,task
15,0.9144001972827636,0.9542338358295941,13,gold_value,1.0,employees_count_total
16,0.7550760202355793,0.7500101509684844,13,gold_value,1.0,employees_count_total
17,0.6745511931440367,0.6831597141760701,13,gold_value,1.0,employees_count_total
18,0.4810038779620385,0.46814681130442165,13,gold_value,1.0,employees_count_total
19,0.48931744557989193,0.465416387765694,13,gold_value,1.0,employees_count_total
20,0.3308465400013427,0.286104089404988,13,gold_value,1.0,employees_count_total
21,0.33053478415677395,0.28520038779565887,13,gold_value,1.0,employees_count_total
22,0.19079072840038117,0.14563679725217005,13,gold_value,1.0,employees_count_total
23,0.07867517126508362,0.013735146614449429,13,gold_value,0.8461538461538461,employees_count_total
24,0.05612244865786911,0.027412006677420036,13,gold_value,0.8461538461538461,employees_count_total
25,0.03966856455111932,0.01831490233921012,13,gold_value,0.8461538461538461,employees_count_total
26,0.0229773394110876,0.013258330834923265,13,gold_value,0.9230769230769231,employees_count_total
27,0.0069434423574309245,0.005016087428482219,13,gold_value,1.0,employees_count_total
28,0.007034359359880781,0.004620296682836488,13,gold_value,1.0,employees_count_total
29,0.006995635183713125,0.004373410766987624,13,gold_value,0.9230769230769231,employees_count_total
30,0.000617124577094945,0.00031098309147938453,13,gold_value,0.7692307692307693,employees_count_total
31,0.0,0.0,13,gold_value,0.0,employees_count_total
0,1.1229731337078832e-05,4.3626211915247165e-09,13,query,0.5384615384615384,employees_count_total
1,-0.00022617573925633788,-0.00021080242607248053,13,query,0.3076923076923077,employees_count_total
2,-3.664319343216923e-07,-3.552993639109854e-08,13,query,0.46153846153846156,employees_count_total
3,-4.8025555983628225e-05,-3.2338534575342666e-05,13,query,0.46153846153846156,employees_count_total
4,3.843741299070734e-05,5.457095118991007e-05,13,query,0.5384615384615384,employees_count_total
5,0.0006024315960188384,0.0004462649965653102,13,query,0.7692307692307693,employees_count_total
6,0.0006592995002416256,0.0008233723788661064,13,query,0.7692307692307693,employees_count_total
7,0.0005666387874027211,0.0006874428458537509,13,query,0.6923076923076923,employees_count_total
8,0.00036316341452051454,0.0003994653837755598,13,query,0.6923076923076923,employees_count_total
9,0.00041683395201274275,0.0006831516920094703,13,query,0.6923076923076923,employees_count_total
10,0.000283925828811303,0.0012441294526096475,13,query,0.6923076923076923,employees_count_total
11,0.00033096591348670865,0.0009579206149287584,13,query,0.5384615384615384,employees_count_total
12,7.765318436505337e-05,0.0002187435580450345,13,query,0.6153846153846154,employees_count_total
13,0.0005062941948615212,0.002020633878904323,13,query,0.6923076923076923,employees_count_total
14,0.00012095152296593727,0.003052255609432643,13,query,0.7692307692307693,employees_count_total
15,0.0006005987468986749,0.0007917525848869978,13,query,0.8461538461538461,employees_count_total
16,0.00044564514966406895,0.0006735605556677753,13,query,0.7692307692307693,employees_count_total
17,0.0003617385853338298,0.000449016938084121,13,query,0.7692307692307693,employees_count_total
18,0.00032232606383024535,0.00022605336094950364,13,query,0.7692307692307693,employees_count_total
19,0.0002533591125360405,0.00023403603274057663,13,query,0.6153846153846154,employees_count_total
20,0.0002511454726181695,0.00024279313357290888,13,query,0.6923076923076923,employees_count_total
21,0.0003073134178634788,0.0002698048325844765,13,query,0.7692307692307693,employees_count_total
22,1.8331353681899595e-05,1.463283460899682e-05,13,query,0.6153846153846154,employees_count_total
23,8.567073726860866e-05,0.0001751144648348483,13,query,0.5384615384615384,employees_count_total
24,0.00014685979793963082,-2.21342805238708e-08,13,query,0.46153846153846156,employees_count_total
25,-3.978094359553088e-06,-0.0001237638016874524,13,query,0.38461538461538464,employees_count_total
26,0.00012861410391404543,3.1731832557353264e-05,13,query,0.5384615384615384,employees_count_total
27,5.082677117006727e-05,-1.4827559141746584e-08,13,query,0.46153846153846156,employees_count_total
28,-3.485173440895954e-05,-2.7586781862056716e-05,13,query,0.3076923076923077,employees_count_total
29,6.852556623676508e-06,9.287297873982066e-09,13,query,0.5384615384615384,employees_count_total
30,0.00013944317518330563,3.7313638257122776e-06,13,query,0.6153846153846154,employees_count_total
31,0.0,0.0,13,query,0.0,employees_count_total
0,-1.5724754942112033e-05,0.0,13,random_prompt,0.3076923076923077,employees_count_total
1,8.84345378293898e-06,0.0,13,random_prompt,0.3076923076923077,employees_count_total
2,-2.2659628392290454e-05,0.0,13,random_prompt,0.15384615384615385,employees_count_total
3,6.772641867532478e-06,0.0,13,random_prompt,0.3076923076923077,employees_count_total
4,-9.400699787277097e-05,0.0,13,random_prompt,0.23076923076923078,employees_count_total
5,-4.929916044681481e-05,0.0,13,random_prompt,0.23076923076923078,employees_count_total
6,-0.00014632712199066556,0.0,13,random_prompt,0.15384615384615385,employees_count_total
7,-0.0001436241280409353,0.0,13,random_prompt,0.15384615384615385,employees_count_total
8,-0.00018679666250707384,0.0,13,random_prompt,0.23076923076923078,employees_count_total
9,-0.0001598748734980256,0.0,13,random_prompt,0.3076923076923077,employees_count_total
10,-0.00011290324790997872,0.0,13,random_prompt,0.07692307692307693,employees_count_total
