condition,mean_sum_logprob_rescue,n,task
patch_matched_layer_random_17,-1.001546613090065,4,registrant_name
patch_matched_layer_random_18,0.48754513749513223,4,registrant_name
patch_matched_layer_random_19,1.5176543885636566,4,registrant_name
patch_qr,2.69205590879538,4,registrant_name
patch_random_00,-0.04518755895155957,4,registrant_name
patch_random_01,0.7206920086622483,4,registrant_name
patch_random_02,0.06320157230021917,4,registrant_name
patch_random_03,-0.2392254433658602,4,registrant_name
patch_random_04,1.0059542349045574,4,registrant_name
patch_random_05,-0.24979908998350286,4,registrant_name
patch_random_06,0.23574768967758913,4,registrant_name
patch_random_07,0.7105998752429611,4,registrant_name
patch_random_08,-0.20003349466177614,4,registrant_name
patch_random_09,0.6766302604423056,4,registrant_name
patch_random_10,-0.2738397885982159,4,registrant_name
patch_random_11,0.25849545136907087,4,registrant_name
patch_random_12,-0.08447812992877063,4,registrant_name
patch_random_13,-1.5875971306650625,4,registrant_name
patch_random_14,-0.1369580133854716,4,registrant_name
patch_random_15,-0.5906797669778636,4,registrant_name
patch_random_16,0.07631638069129545,4,registrant_name
patch_random_17,0.8094376270299424,4,registrant_name
patch_random_18,1.013346390115128,4,registrant_name
patch_random_19,-0.18124962078181572,4,registrant_name
patch_same_layer,-2.2634278998911768,4,registrant_name
