condition,mean_sum_logprob_rescue,n,task
patch_random_10,1.4939553541731294,1,registrant_name
patch_random_11,-0.1747095826254649,1,registrant_name
patch_random_12,1.4299319438393887,1,registrant_name
patch_random_13,-0.9789128932659453,1,registrant_name
patch_random_14,-0.060933613606304574,1,registrant_name
patch_random_15,-2.0252256873089873,1,registrant_name
patch_random_16,2.0138175732048884,1,registrant_name
patch_random_17,-0.02740052791960033,1,registrant_name
patch_random_18,-0.739244786038016,1,registrant_name
patch_random_19,-0.2920966605781582,1,registrant_name
patch_same_layer,1.599053798747731,1,registrant_name
