condition,gold,idx,mean_logprob,num_answer_tokens,span_end,span_start,sum_logprob,task
edge_distractor,Loucks,10456_1993.txt_ceo_lastname_99,-0.011662694625556469,2,378,268,-0.023325389251112938,ceo_lastname
edge_random,Loucks,10456_1993.txt_ceo_lastname_99,-0.011514591984450817,2,5019,4909,-0.023029183968901634,ceo_lastname
edge_nonqr_gold,Loucks,10456_1993.txt_ceo_lastname_99,-0.011496535502374172,2,3232,3122,-0.022993071004748344,ceo_lastname
edge_bottom_gold,Loucks,10456_1993.txt_ceo_lastname_99,-0.01164935901761055,2,3232,3122,-0.0232987180352211,ceo_lastname
clean,Leva,77227_1993.txt_ceo_lastname_91,-0.00017514861247036606,2,,,-0.0003502972249407321,ceo_lastname
full_qr_ablation,Leva,77227_1993.txt_ceo_lastname_91,-1.4229563474655151,2,,,-2.8459126949310303,ceo_lastname
edge_gold,Leva,77227_1993.txt_ceo_lastname_91,-0.00016215909272432327,2,3669,3495,-0.00032431818544864655,ceo_lastname
edge_distractor,Leva,77227_1993.txt_ceo_lastname_91,-0.00017270565149374306,2,767,593,-0.0003454113029874861,ceo_lastname
edge_random,Leva,77227_1993.txt_ceo_lastname_91,-0.00017508900782559067,2,539,365,-0.00035017801565118134,ceo_lastname
edge_nonqr_gold,Leva,77227_1993.txt_ceo_lastname_91,-0.00017300360195804387,2,3669,3495,-0.00034600720391608775,ceo_lastname
edge_bottom_gold,Leva,77227_1993.txt_ceo_lastname_91,-0.00017467193538323045,2,3669,3495,-0.0003493438707664609,ceo_lastname
clean,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,,,-0.00022122815425973386,ceo_lastname
full_qr_ablation,Beard,764764_1993.txt_ceo_lastname_45,-4.5728864669799805,2,,,-9.145772933959961,ceo_lastname
edge_gold,Beard,764764_1993.txt_ceo_lastname_45,-7.980434747878462e-05,2,3672,3645,-0.00015960869495756924,ceo_lastname
edge_distractor,Beard,764764_1993.txt_ceo_lastname_45,-0.00010983937681885436,2,933,906,-0.00021967875363770872,ceo_lastname
edge_random,Beard,764764_1993.txt_ceo_lastname_45,-0.0001107928401324898,2,7038,7011,-0.0002215856802649796,ceo_lastname
edge_nonqr_gold,Beard,764764_1993.txt_ceo_lastname_45,-0.00010983937681885436,2,3672,3645,-0.00021967875363770872,ceo_lastname
edge_bottom_gold,Beard,764764_1993.txt_ceo_lastname_45,-0.00011168670607730746,2,3672,3645,-0.00022337341215461493,ceo_lastname
clean,Newton,55387_1993.txt_ceo_lastname_11,-0.0023761154152452946,1,,,-0.0023761154152452946,ceo_lastname
full_qr_ablation,Newton,55387_1993.txt_ceo_lastname_11,-9.367043495178223,1,,,-9.367043495178223,ceo_lastname
edge_gold,Newton,55387_1993.txt_ceo_lastname_11,-0.0027384182903915644,1,3812,3791,-0.0027384182903915644,ceo_lastname
edge_distractor,Newton,55387_1993.txt_ceo_lastname_11,-0.0023770667612552643,1,873,852,-0.0023770667612552643,ceo_lastname
edge_random,Newton,55387_1993.txt_ceo_lastname_11,-0.0023782560601830482,1,4863,4842,-0.0023782560601830482,ceo_lastname
edge_nonqr_gold,Newton,55387_1993.txt_ceo_lastname_11,-0.0022846567444503307,1,3812,3791,-0.0022846567444503307,ceo_lastname
edge_bottom_gold,Newton,55387_1993.txt_ceo_lastname_11,-0.0023688608780503273,1,3812,3791,-0.0023688608780503273,ceo_lastname
clean,Peterson,865227_1993.txt_ceo_lastname_51,-0.013604321517050266,2,,,-0.027208643034100533,ceo_lastname
full_qr_ablation,Peterson,865227_1993.txt_ceo_lastname_51,-4.059054374694824,2,,,-8.118108749389648,ceo_lastname
edge_gold,Peterson,865227_1993.txt_ceo_lastname_51,-0.012240471318364143,2,3514,3491,-0.024480942636728287,ceo_lastname
edge_distractor,Peterson,865227_1993.txt_ceo_lastname_51,-0.013608381152153015,2,351,328,-0.02721676230430603,ceo_lastname
edge_random,Peterson,865227_1993.txt_ceo_lastname_51,-0.013607105240225792,2,4326,4303,-0.027214210480451584,ceo_lastname
edge_nonqr_gold,Peterson,865227_1993.txt_ceo_lastname_51,-0.01319771446287632,2,3514,3491,-0.02639542892575264,ceo_lastname
edge_bottom_gold,Peterson,865227_1993.txt_ceo_lastname_51,-0.013813501223921776,2,3514,3491,-0.02762700244784355,ceo_lastname
clean,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,,,-0.24078139662742615,ceo_lastname
full_qr_ablation,Goodes,104669_1993.txt_ceo_lastname_84,-7.332618236541748,2,,,-14.665236473083496,ceo_lastname
edge_gold,Goodes,104669_1993.txt_ceo_lastname_84,-0.4972604215145111,2,2984,2918,-0.9945208430290222,ceo_lastname
edge_distractor,Goodes,104669_1993.txt_ceo_lastname_84,-0.12145538628101349,2,382,316,-0.24291077256202698,ceo_lastname
edge_random,Goodes,104669_1993.txt_ceo_lastname_84,-0.12026138603687286,2,2650,2584,-0.24052277207374573,ceo_lastname
edge_nonqr_gold,Goodes,104669_1993.txt_ceo_lastname_84,-0.12033966183662415,2,2984,2918,-0.2406793236732483,ceo_lastname
edge_bottom_gold,Goodes,104669_1993.txt_ceo_lastname_84,-0.12152186781167984,2,2984,2918,-0.24304373562335968,ceo_lastname
clean,Gressette,754737_1993.txt_ceo_lastname_200,-0.0010020488407462835,3,,,-0.003006146289408207,ceo_lastname
full_qr_ablation,Gressette,754737_1993.txt_ceo_lastname_200,-2.44705867767334,3,,,-7.3411760330200195,ceo_lastname
edge_gold,Gressette,754737_1993.txt_ceo_lastname_200,-0.001929552061483264,3,3768,3736,-0.005788655951619148,ceo_lastname
edge_distractor,Gressette,754737_1993.txt_ceo_lastname_200,-0.000989410444162786,3,1044,1012,-0.002968231216073036,ceo_lastname
edge_random,Gressette,754737_1993.txt_ceo_lastname_200,-0.0009900445584207773,3,3410,3378,-0.0029701334424316883,ceo_lastname
edge_nonqr_gold,Gressette,754737_1993.txt_ceo_lastname_200,-0.0009095149580389261,3,3768,3736,-0.0027285448741167784,ceo_lastname
edge_bottom_gold,Gressette,754737_1993.txt_ceo_lastname_200,-0.0009863600134849548,3,3768,3736,-0.002959079807624221,ceo_lastname
clean,Lenzie,71180_1993.txt_ceo_lastname_215,-0.00037376716500148177,2,,,-0.0007475343300029635,ceo_lastname
full_qr_ablation,Lenzie,71180_1993.txt_ceo_lastname_215,-5.110004901885986,2,,,-10.220009803771973,ceo_lastname
edge_gold,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0005007220897823572,2,1255,1240,-0.0010014441795647144,ceo_lastname
edge_distractor,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0003694773477036506,2,936,921,-0.0007389546954073012,ceo_lastname
edge_random,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0003685835690703243,2,4089,4074,-0.0007371671381406486,ceo_lastname
edge_nonqr_gold,Lenzie,71180_1993.txt_ceo_lastname_215,-0.00033289470593445003,2,1255,1240,-0.0006657894118689001,ceo_lastname
edge_bottom_gold,Lenzie,71180_1993.txt_ceo_lastname_215,-0.0003744225250557065,2,1255,1240,-0.000748845050111413,ceo_lastname
clean,Allender,34501_1993.txt_ceo_lastname_220,-0.00020542179117910564,2,,,-0.0004108435823582113,ceo_lastname
full_qr_ablation,Allender,34501_1993.txt_ceo_lastname_220,-5.334306716918945,2,,,-10.66861343383789,ceo_lastname
edge_gold,Allender,34501_1993.txt_ceo_lastname_220,-0.0003072553954552859,2,3664,3644,-0.0006145107909105718,ceo_lastname
edge_distractor,Allender,34501_1993.txt_ceo_lastname_220,-0.00020440909429453313,2,985,965,-0.00040881818858906627,ceo_lastname
edge_random,Allender,34501_1993.txt_ceo_lastname_220,-0.0002041109837591648,2,4024,4004,-0.0004082219675183296,ceo_lastname
edge_nonqr_gold,Allender,34501_1993.txt_ceo_lastname_220,-0.0002054820506600663,2,3664,3644,-0.0004109641013201326,ceo_lastname
edge_bottom_gold,Allender,34501_1993.txt_ceo_lastname_220,-0.0002051836927421391,2,3664,3644,-0.0004103673854842782,ceo_lastname
clean,Zandman,103730_1993.txt_ceo_lastname_6,-0.0004000574117526412,3,,,-0.0012001722352579236,ceo_lastname
full_qr_ablation,Zandman,103730_1993.txt_ceo_lastname_6,-1.317103385925293,3,,,-3.951310157775879,ceo_lastname
edge_gold,Zandman,103730_1993.txt_ceo_lastname_6,-0.0005774290184490383,3,3417,3389,-0.0017322869971394539,ceo_lastname
edge_distractor,Zandman,103730_1993.txt_ceo_lastname_6,-0.0003964052884839475,3,927,899,-0.0011892158072441816,ceo_lastname
edge_random,Zandman,103730_1993.txt_ceo_lastname_6,-0.0004002161440439522,3,5567,5539,-0.0012006483739241958,ceo_lastname
edge_nonqr_gold,Zandman,103730_1993.txt_ceo_lastname_6,-0.00038179795956239104,3,3417,3389,-0.0011453938204795122,ceo_lastname
edge_bottom_gold,Zandman,103730_1993.txt_ceo_lastname_6,-0.0004020423803012818,3,3417,3389,-0.001206127111800015,ceo_lastname
clean,86168,66740_1993.txt_employees_count_total_197,-5.400080680847168,2,,,-10.800161361694336,employees_count_total
full_qr_ablation,86168,66740_1993.txt_employees_count_total_197,-7.803508281707764,2,,,-15.607016563415527,employees_count_total
edge_gold,86168,66740_1993.txt_employees_count_total_197,-5.410384654998779,2,3114,3105,-10.820769309997559,employees_count_total
edge_distractor,86168,66740_1993.txt_employees_count_total_197,-5.392266750335693,2,935,926,-10.784533500671387,employees_count_total
edge_random,86168,66740_1993.txt_employees_count_total_197,-5.400081157684326,2,4742,4733,-10.800162315368652,employees_count_total
edge_nonqr_gold,86168,66740_1993.txt_employees_count_total_197,-5.407863616943359,2,3114,3105,-10.815727233886719,employees_count_total
edge_bottom_gold,86168,66740_1993.txt_employees_count_total_197,-5.40008544921875,2,3114,3105,-10.8001708984375,employees_count_total
clean,60400,10456_1993.txt_employees_count_total_98,-5.765077114105225,2,,,-11.53015422821045,employees_count_total
full_qr_ablation,60400,10456_1993.txt_employees_count_total_98,-6.48478364944458,2,,,-12.96956729888916,employees_count_total
edge_gold,60400,10456_1993.txt_employees_count_total_98,-6.2214789390563965,2,4327,4293,-12.442957878112793,employees_count_total
edge_distractor,60400,10456_1993.txt_employees_count_total_98,-5.76508092880249,2,336,302,-11.53016185760498,employees_count_total
edge_random,60400,10456_1993.txt_employees_count_total_98,-5.765069961547852,2,626,592,-11.530139923095703,employees_count_total
edge_nonqr_gold,60400,10456_1993.txt_employees_count_total_98,-5.811668395996094,2,4327,4293,-11.623336791992188,employees_count_total
edge_bottom_gold,60400,10456_1993.txt_employees_count_total_98,-5.7614898681640625,2,4327,4293,-11.522979736328125,employees_count_total
clean,4151,745287_1993.txt_employees_count_total_38,-4.040112018585205,2,,,-8.08022403717041,employees_count_total
full_qr_ablation,4151,745287_1993.txt_employees_count_total_38,-4.414342880249023,2,,,-8.828685760498047,employees_count_total
edge_gold,4151,745287_1993.txt_employees_count_total_38,-4.391448974609375,2,3551,3522,-8.78289794921875,employees_count_total
edge_distractor,4151,745287_1993.txt_employees_count_total_38,-4.047909736633301,2,868,839,-8.095819473266602,employees_count_total
edge_random,4151,745287_1993.txt_employees_count_total_38,-4.047909259796143,2,1613,1584,-8.095818519592285,employees_count_total
edge_nonqr_gold,4151,745287_1993.txt_employees_count_total_38,-4.079128265380859,2,3551,3522,-8.158256530761719,employees_count_total
edge_bottom_gold,4151,745287_1993.txt_employees_count_total_38,-4.047913551330566,2,3551,3522,-8.095827102661133,employees_count_total
clean,11500,36326_1993.txt_employees_count_total_141,-4.863256454467773,2,,,-9.726512908935547,employees_count_total
full_qr_ablation,11500,36326_1993.txt_employees_count_total_141,-4.750899791717529,2,,,-9.501799583435059,employees_count_total
edge_gold,11500,36326_1993.txt_employees_count_total_141,-5.050443172454834,2,3775,3753,-10.100886344909668,employees_count_total
edge_distractor,11500,36326_1993.txt_employees_count_total_141,-4.878844261169434,2,305,283,-9.757688522338867,employees_count_total
edge_random,11500,36326_1993.txt_employees_count_total_141,-4.847700595855713,2,34,12,-9.695401191711426,employees_count_total
edge_nonqr_gold,11500,36326_1993.txt_employees_count_total_141,-4.815567970275879,2,3775,3753,-9.631135940551758,employees_count_total
edge_bottom_gold,11500,36326_1993.txt_employees_count_total_141,-4.8788838386535645,2,3775,3753,-9.757767677307129,employees_count_total
clean,76200,732714_1993.txt_employees_count_total_169,-5.419198513031006,2,,,-10.838397026062012,employees_count_total
full_qr_ablation,76200,732714_1993.txt_employees_count_total_169,-5.410017013549805,2,,,-10.82003402709961,employees_count_total
edge_gold,76200,732714_1993.txt_employees_count_total_169,-5.312662124633789,2,2531,2509,-10.625324249267578,employees_count_total
edge_distractor,76200,732714_1993.txt_employees_count_total_169,-5.407617092132568,2,327,305,-10.815234184265137,employees_count_total
edge_random,76200,732714_1993.txt_employees_count_total_169,-5.411523818969727,2,6385,6363,-10.823047637939453,employees_count_total
edge_nonqr_gold,76200,732714_1993.txt_employees_count_total_169,-5.391348838806152,2,2531,2509,-10.782697677612305,employees_count_total
edge_bottom_gold,76200,732714_1993.txt_employees_count_total_169,-5.415351390838623,2,2531,2509,-10.830702781677246,employees_count_total
clean,1741,71180_1993.txt_employees_count_total_214,-2.521683692932129,2,,,-5.043367385864258,employees_count_total
full_qr_ablation,1741,71180_1993.txt_employees_count_total_214,-4.761582851409912,2,,,-9.523165702819824,employees_count_total
edge_gold,1741,71180_1993.txt_employees_count_total_214,-2.567364454269409,2,1647,1629,-5.134728908538818,employees_count_total
edge_distractor,1741,71180_1993.txt_employees_count_total_214,-2.5294268131256104,2,937,919,-5.058853626251221,employees_count_total
edge_random,1741,71180_1993.txt_employees_count_total_214,-2.52166748046875,2,4290,4272,-5.0433349609375,employees_count_total
edge_nonqr_gold,1741,71180_1993.txt_employees_count_total_214,-2.5067288875579834,2,1647,1629,-5.013457775115967,employees_count_total
edge_bottom_gold,1741,71180_1993.txt_employees_count_total_214,-2.506286144256592,2,1647,1629,-5.012572288513184,employees_count_total
clean,5300,34501_1993.txt_employees_count_total_219,-3.7876551151275635,2,,,-7.575310230255127,employees_count_total
full_qr_ablation,5300,34501_1993.txt_employees_count_total_219,-4.152063369750977,2,,,-8.304126739501953,employees_count_total
edge_gold,5300,34501_1993.txt_employees_count_total_219,-4.246548175811768,2,5225,5205,-8.493096351623535,employees_count_total
edge_distractor,5300,34501_1993.txt_employees_count_total_219,-3.787569999694824,2,985,965,-7.575139999389648,employees_count_total
edge_random,5300,34501_1993.txt_employees_count_total_219,-3.7876572608947754,2,4792,4772,-7.575314521789551,employees_count_total
edge_nonqr_gold,5300,34501_1993.txt_employees_count_total_219,-3.8107643127441406,2,5225,5205,-7.621528625488281,employees_count_total
edge_bottom_gold,5300,34501_1993.txt_employees_count_total_219,-3.7954680919647217,2,5225,5205,-7.590936183929443,employees_count_total
clean,4200,277821_1993.txt_employees_count_total_156,-3.3897738456726074,2,,,-6.779547691345215,employees_count_total
full_qr_ablation,4200,277821_1993.txt_employees_count_total_156,-4.5562520027160645,2,,,-9.112504005432129,employees_count_total
edge_gold,4200,277821_1993.txt_employees_count_total_156,-3.8496217727661133,2,2771,2752,-7.699243545532227,employees_count_total
edge_distractor,4200,277821_1993.txt_employees_count_total_156,-3.3897085189819336,2,2039,2020,-6.779417037963867,employees_count_total
edge_random,4200,277821_1993.txt_employees_count_total_156,-3.397510051727295,2,1525,1506,-6.79502010345459,employees_count_total
edge_nonqr_gold,4200,277821_1993.txt_employees_count_total_156,-3.4756264686584473,2,2771,2752,-6.9512529373168945,employees_count_total
