component_type,condition,mean_margin_recovery,median_margin_recovery,n,positive_fraction,task
control,random01_top1,6.408708309933764e-05,-6.920427411231871e-06,13,0.46153846153846156,employees_count_total
control,random01_top16,-0.00026271405773566363,-0.00034809839984804164,13,0.3076923076923077,employees_count_total
control,random01_top2,-3.153123250385733e-05,-0.00018409714781126443,13,0.38461538461538464,employees_count_total
control,random01_top4,-0.00015141074008763204,-0.00013405696440791558,13,0.38461538461538464,employees_count_total
control,random02_top1,-0.00010684324438493172,-3.265568075497531e-05,13,0.38461538461538464,employees_count_total
control,random02_top16,-0.00029665576179299994,-0.00026581925581892603,13,0.23076923076923078,employees_count_total
control,random02_top2,-0.0006189807670235365,-0.0006554586303260628,13,0.23076923076923078,employees_count_total
control,random02_top4,-1.569796400281447e-05,-0.00011482293403957452,13,0.46153846153846156,employees_count_total
control,random03_top1,1.6798779948156814e-05,0.0001240436436529688,13,0.6923076923076923,employees_count_total
control,random03_top16,-0.00048759369489078216,-0.00019513197711511747,13,0.23076923076923078,employees_count_total
control,random03_top2,-8.031478068758092e-05,-8.005360026077379e-05,13,0.38461538461538464,employees_count_total
control,random03_top4,-9.937185633723838e-05,5.8294913539406565e-05,13,0.5384615384615384,employees_count_total
control,random04_top1,-0.0001121049253874567,-5.2422603256318394e-05,13,0.46153846153846156,employees_count_total
control,random04_top16,-0.00025810771474001185,-0.00026847935674501413,13,0.23076923076923078,employees_count_total
control,random04_top2,-1.0603003442573708e-05,-0.0001395727446721713,13,0.46153846153846156,employees_count_total
control,random04_top4,-0.00020810869826446733,-0.00021672703439416156,13,0.3076923076923077,employees_count_total
control,same_layer_top1,-3.079086259686153e-05,-0.00011738503576298132,13,0.38461538461538464,employees_count_total
control,same_layer_top16,-0.0007938189061572223,-0.0011804765744458004,13,0.38461538461538464,employees_count_total
control,same_layer_top2,0.0001044737612875423,9.47697151973191e-05,13,0.5384615384615384,employees_count_total
control,same_layer_top4,2.9384615090958697e-06,1.8716985486071605e-05,13,0.6153846153846154,employees_count_total
head,candidate_13-18,0.0005276859662421728,0.0006240947192335504,13,0.7692307692307693,employees_count_total
head,candidate_14-31,-0.000513822769859047,-0.00018352785032227473,13,0.38461538461538464,employees_count_total
head_set,candidate_set,1.1410509241174461e-05,0.0008368300946964109,13,0.6923076923076923,employees_count_total
head_set,qr_top1,-0.000513822769859047,-0.00018352785032227473,13,0.38461538461538464,employees_count_total
head_set,qr_top16,0.001329580361673259,0.0033189889817627632,13,0.7692307692307693,employees_count_total
head_set,qr_top2,1.1410509241174461e-05,0.0008368300946964109,13,0.6923076923076923,employees_count_total
head_set,qr_top4,0.00033555373287054294,0.002055414852306897,13,0.6923076923076923,employees_count_total
mlp,mlp_L0,-2.0326479536477884e-05,-0.00023205012187519166,13,0.46153846153846156,employees_count_total
mlp,mlp_L1,-2.913034228217498e-05,-4.221209462179811e-05,13,0.46153846153846156,employees_count_total
mlp,mlp_L10,-0.0004301232473056033,-0.00016366018412210945,13,0.38461538461538464,employees_count_total
mlp,mlp_L11,-0.0013505873242755562,-0.0014657846100272162,13,0.23076923076923078,employees_count_total
mlp,mlp_L12,0.0006357416782565239,0.00044902595773652315,13,0.5384615384615384,employees_count_total
mlp,mlp_L13,-0.0017444603399144275,-0.00113839275188803,13,0.15384615384615385,employees_count_total
mlp,mlp_L14,-0.0012469000880457018,-0.001274379272490368,13,0.23076923076923078,employees_count_total
mlp,mlp_L15,-0.00012190349675080156,-2.5660687312640766e-05,13,0.46153846153846156,employees_count_total
mlp,mlp_L16,1.9482861790073772e-05,-0.00013338713439692735,13,0.38461538461538464,employees_count_total
mlp,mlp_L17,3.1938800245028254e-05,-8.929483551185504e-06,13,0.38461538461538464,employees_count_total
mlp,mlp_L18,8.666901102921965e-06,-5.1767863824692374e-05,13,0.46153846153846156,employees_count_total
mlp,mlp_L19,-0.00010092377242445119,-4.2996483769866797e-05,13,0.3076923076923077,employees_count_total
mlp,mlp_L2,-3.676071826123251e-05,8.031792901065498e-05,13,0.5384615384615384,employees_count_total
mlp,mlp_L20,-4.241912700130296e-05,-2.839390437632713e-06,13,0.38461538461538464,employees_count_total
mlp,mlp_L21,-1.0166244352635277e-05,-5.634953617288038e-06,13,0.46153846153846156,employees_count_total
mlp,mlp_L22,-4.202834581407138e-05,-2.3881301716517998e-05,13,0.3076923076923077,employees_count_total
mlp,mlp_L23,-7.663202154070972e-05,4.4097744623752386e-06,13,0.5384615384615384,employees_count_total
mlp,mlp_L24,2.3859358212310403e-05,3.003807690996415e-07,13,0.6153846153846154,employees_count_total
mlp,mlp_L25,5.826113047632646e-05,8.619578114242165e-07,13,0.5384615384615384,employees_count_total
mlp,mlp_L26,6.504277675403337e-05,-0.00017630313825266468,13,0.38461538461538464,employees_count_total
mlp,mlp_L27,-4.0362070782327215e-05,-0.00010211681683744752,13,0.38461538461538464,employees_count_total
mlp,mlp_L28,-4.441221763366305e-05,-7.941963638356213e-05,13,0.38461538461538464,employees_count_total
mlp,mlp_L29,-3.112571042928204e-06,-1.0643562388097317e-05,13,0.38461538461538464,employees_count_total
mlp,mlp_L3,-0.00016614856805479366,-0.0001416028936855847,13,0.23076923076923078,employees_count_total
mlp,mlp_L30,3.423955224516848e-05,2.6420371385083876e-06,13,0.6923076923076923,employees_count_total
mlp,mlp_L31,0.0,0.0,13,0.0,employees_count_total
mlp,mlp_L4,1.3275628578411268e-05,7.88427402006095e-05,13,0.5384615384615384,employees_count_total
mlp,mlp_L5,0.00038631464548329286,0.0004490379081068423,13,0.6923076923076923,employees_count_total
mlp,mlp_L6,0.0001969594902360102,-1.3302576917269838e-06,13,0.38461538461538464,employees_count_total
mlp,mlp_L7,-5.164947932127037e-05,-8.908243857843786e-05,13,0.46153846153846156,employees_count_total
mlp,mlp_L8,-0.00046644329795856617,-0.0005272352218581199,13,0.3076923076923077,employees_count_total
mlp,mlp_L9,-0.00017065797961134582,-0.00031476888671423475,13,0.46153846153846156,employees_count_total
