clean_margin,clean_pos_sum_logprob,component_type,condition,corrupted_margin,corrupted_pos_sum_logprob,heads,idx,layer,margin_denom,margin_recovery,pair_idx,patched_margin,patched_neg_sum_logprob,patched_pos_sum_logprob,position_count,position_group,task
16.523035526275635,-3.9404215812683105,control,bottom_top1,-13.541337013244629,-21.22539520263672,['1-12'],276999_1993.txt_employees_count_total_162,,30.064372539520264,0.00013229275719438418,4,-13.537359714508057,-7.6832499504089355,-21.220609664916992,2,query,employees_count_total
16.523035526275635,-3.9404215812683105,control,same_layer_top1,-13.541337013244629,-21.22539520263672,['14-0'],276999_1993.txt_employees_count_total_162,,30.064372539520264,0.00012050837659308608,4,-13.537714004516602,-7.667703628540039,-21.20541763305664,2,query,employees_count_total
16.523035526275635,-3.9404215812683105,control,random00_top1,-13.541337013244629,-21.22539520263672,['9-0'],276999_1993.txt_employees_count_total_162,,30.064372539520264,-0.00044687069103845756,4,-13.554771900177002,-7.683257579803467,-21.23802947998047,2,query,employees_count_total
16.523035526275635,-3.9404215812683105,control,random01_top1,-13.541337013244629,-21.22539520263672,['29-20'],276999_1993.txt_employees_count_total_162,,30.064372539520264,-2.3679784976767244e-05,4,-13.542048931121826,-7.6832451820373535,-21.22529411315918,2,query,employees_count_total
16.523035526275635,-3.9404215812683105,control,random02_top1,-13.541337013244629,-21.22539520263672,['4-26'],276999_1993.txt_employees_count_total_162,,30.064372539520264,-7.23240586028524e-06,4,-13.54155445098877,-7.698838233947754,-21.240392684936523,2,query,employees_count_total
16.523035526275635,-3.9404215812683105,control,random03_top1,-13.541337013244629,-21.22539520263672,['8-19'],276999_1993.txt_employees_count_total_162,,30.064372539520264,4.4663278295094816e-05,4,-13.539994239807129,-7.682461738586426,-21.222455978393555,2,query,employees_count_total
16.523035526275635,-3.9404215812683105,control,random04_top1,-13.541337013244629,-21.22539520263672,['16-11'],276999_1993.txt_employees_count_total_162,,30.064372539520264,-0.0003012868020218825,4,-13.550395011901855,-7.683259010314941,-21.233654022216797,2,query,employees_count_total
16.523035526275635,-3.9404215812683105,control,bottom_top2,-13.541337013244629,-21.22539520263672,"['1-12', '0-27']",276999_1993.txt_employees_count_total_162,,30.064372539520264,-7.709808089220735e-05,4,-13.543654918670654,-7.682423114776611,-21.226078033447266,2,query,employees_count_total
16.523035526275635,-3.9404215812683105,control,same_layer_top2,-13.541337013244629,-21.22539520263672,"['14-0', '13-19']",276999_1993.txt_employees_count_total_162,,30.064372539520264,-4.93579978886133e-05,4,-13.542820930480957,-7.684107780456543,-21.2269287109375,2,query,employees_count_total
16.523035526275635,-3.9404215812683105,control,random00_top2,-13.541337013244629,-21.22539520263672,"['23-1', '24-12']",276999_1993.txt_employees_count_total_162,,30.064372539520264,-0.0003563704545498883,4,-13.552051067352295,-7.668507099151611,-21.220558166503906,2,query,employees_count_total
