model,target_task,K,sensitivity_mean_drop,on_target_drop,off_target_mean_drop,mean_accuracy,baseline_accuracy
Qwen2.5-7B-Instruct,ceo_lastname,32,0.6071428571428571,0.4285714285714286,0.6326530612244898,0.3357142857142857,0.9428571428571428
Qwen2.5-7B-Instruct,ceo_lastname,48,0.8571428571428571,0.9142857142857143,0.8489795918367348,0.08571428571428572,0.9428571428571428
Qwen2.5-7B-Instruct,ceo_lastname,64,0.9071428571428571,0.9428571428571428,0.9020408163265305,0.03571428571428571,0.9428571428571428
Qwen2.5-7B-Instruct,ceo_lastname,96,0.9285714285714286,0.9428571428571428,0.926530612244898,0.014285714285714285,0.9428571428571428
Qwen2.5-7B-Instruct,ceo_lastname,128,0.9392857142857143,0.9428571428571428,0.9387755102040816,0.0035714285714285713,0.9428571428571428
Qwen2.5-7B-Instruct,employees_count_total,0,0.0,0.0,0.0,0.9583333333333334,0.9583333333333334
Qwen2.5-7B-Instruct,employees_count_total,8,0.6822916666666667,0.875,0.6547619047619049,0.2760416666666667,0.9583333333333334
Qwen2.5-7B-Instruct,employees_count_total,16,0.8333333333333334,0.9166666666666667,0.8214285714285714,0.125,0.9583333333333334
Qwen2.5-7B-Instruct,employees_count_total,32,0.9270833333333334,0.8333333333333334,0.9404761904761906,0.03125,0.9583333333333334
Qwen2.5-7B-Instruct,employees_count_total,48,0.9375,0.875,0.9464285714285714,0.020833333333333332,0.9583333333333334
Qwen2.5-7B-Instruct,employees_count_total,64,0.9270833333333334,0.9166666666666667,0.9285714285714286,0.03125,0.9583333333333334
Qwen2.5-7B-Instruct,employees_count_total,96,0.84375,0.9166666666666667,0.8333333333333334,0.11458333333333333,0.9583333333333334
Qwen2.5-7B-Instruct,employees_count_total,128,0.890625,0.9166666666666667,0.886904761904762,0.06770833333333333,0.9583333333333334
Qwen2.5-7B-Instruct,headquarters_city,0,0.0,0.0,0.0,0.9285714285714286,0.9285714285714286
Qwen2.5-7B-Instruct,headquarters_city,8,0.35714285714285715,0.1785714285714286,0.38265306122448983,0.5714285714285714,0.9285714285714286
Qwen2.5-7B-Instruct,headquarters_city,16,0.5401785714285715,0.7857142857142858,0.5051020408163266,0.38839285714285715,0.9285714285714286
Qwen2.5-7B-Instruct,headquarters_city,32,0.7410714285714286,0.7857142857142858,0.7346938775510204,0.1875,0.9285714285714286
Qwen2.5-7B-Instruct,headquarters_city,48,0.8705357142857143,0.75,0.8877551020408163,0.05803571428571429,0.9285714285714286
Qwen2.5-7B-Instruct,headquarters_city,64,0.8883928571428572,0.8571428571428572,0.8928571428571429,0.040178571428571425,0.9285714285714286
Qwen2.5-7B-Instruct,headquarters_city,96,0.9151785714285715,0.9285714285714286,0.913265306122449,0.013392857142857142,0.9285714285714286
Qwen2.5-7B-Instruct,headquarters_city,128,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.03571428571428571,0.9285714285714286
Qwen2.5-7B-Instruct,headquarters_state,0,0.0,0.0,0.0,0.8518518518518519,0.8518518518518519
Qwen2.5-7B-Instruct,headquarters_state,8,0.2777777777777778,0.40740740740740744,0.25925925925925924,0.5740740740740741,0.8518518518518519
Qwen2.5-7B-Instruct,headquarters_state,16,0.36574074074074076,0.4814814814814815,0.34920634920634924,0.4861111111111111,0.8518518518518519
Qwen2.5-7B-Instruct,headquarters_state,32,0.6064814814814815,0.5925925925925926,0.6084656084656085,0.24537037037037035,0.8518518518518519
Qwen2.5-7B-Instruct,headquarters_state,48,0.7453703703703705,0.8148148148148149,0.7354497354497356,0.10648148148148148,0.8518518518518519
Qwen2.5-7B-Instruct,headquarters_state,64,0.763888888888889,0.8148148148148149,0.7566137566137566,0.08796296296296297,0.8518518518518519
Qwen2.5-7B-Instruct,headquarters_state,96,0.8287037037037037,0.8148148148148149,0.8306878306878307,0.023148148148148147,0.8518518518518519
Qwen2.5-7B-Instruct,headquarters_state,128,0.7361111111111112,0.7777777777777778,0.7301587301587302,0.11574074074074073,0.8518518518518519
Qwen2.5-7B-Instruct,holder_record_amount,0,0.0,0.0,0.0,0.5416666666666666,0.5416666666666666
Qwen2.5-7B-Instruct,holder_record_amount,8,0.43229166666666663,0.24999999999999994,0.4583333333333333,0.109375,0.5416666666666666
Qwen2.5-7B-Instruct,holder_record_amount,16,0.47916666666666663,0.5416666666666666,0.47023809523809523,0.0625,0.5416666666666666
