condition,gold,idx,mean_logprob,num_answer_tokens,span_end,span_start,sum_logprob,task
edge_random,Allender,34501_1993.txt_ceo_lastname_220,-0.00020464745466597378,2,4024,4004,-0.00040929490933194757,ceo_lastname
edge_nonqr_gold,Allender,34501_1993.txt_ceo_lastname_220,-0.0002436128561384976,2,3664,3644,-0.0004872257122769952,ceo_lastname
edge_bottom_gold,Allender,34501_1993.txt_ceo_lastname_220,-0.00020476640202105045,2,3664,3644,-0.0004095328040421009,ceo_lastname
clean,Zandman,103730_1993.txt_ceo_lastname_6,-0.0004000574117526412,3,,,-0.0012001722352579236,ceo_lastname
full_qr_ablation,Zandman,103730_1993.txt_ceo_lastname_6,-1.317103385925293,3,,,-3.951310157775879,ceo_lastname
edge_gold,Zandman,103730_1993.txt_ceo_lastname_6,-0.0008246198995038867,3,3417,3389,-0.0024738595820963383,ceo_lastname
edge_distractor,Zandman,103730_1993.txt_ceo_lastname_6,-0.00039461912820115685,3,927,899,-0.0011838573263958097,ceo_lastname
edge_random,Zandman,103730_1993.txt_ceo_lastname_6,-0.00040049440576694906,3,5567,5539,-0.0012014831881970167,ceo_lastname
edge_nonqr_gold,Zandman,103730_1993.txt_ceo_lastname_6,-0.00039537332486361265,3,3417,3389,-0.001186119974590838,ceo_lastname
edge_bottom_gold,Zandman,103730_1993.txt_ceo_lastname_6,-0.0003998196334578097,3,3417,3389,-0.0011994588421657681,ceo_lastname
clean,Ross,277509_1993.txt_ceo_lastname_228,-0.001358658540993929,1,,,-0.001358658540993929,ceo_lastname
full_qr_ablation,Ross,277509_1993.txt_ceo_lastname_228,-5.4960198402404785,1,,,-5.4960198402404785,ceo_lastname
edge_gold,Ross,277509_1993.txt_ceo_lastname_228,-0.0014006814453750849,1,3314,3289,-0.0014006814453750849,ceo_lastname
edge_distractor,Ross,277509_1993.txt_ceo_lastname_228,-0.0013386583887040615,1,332,307,-0.0013386583887040615,ceo_lastname
edge_random,Ross,277509_1993.txt_ceo_lastname_228,-0.001341872732155025,1,4790,4765,-0.001341872732155025,ceo_lastname
edge_nonqr_gold,Ross,277509_1993.txt_ceo_lastname_228,-0.0013486584648489952,1,3314,3289,-0.0013486584648489952,ceo_lastname
edge_bottom_gold,Ross,277509_1993.txt_ceo_lastname_228,-0.0013450870756059885,1,3314,3289,-0.0013450870756059885,ceo_lastname
clean,McCraw,37748_1993.txt_ceo_lastname_63,-0.07395684719085693,2,,,-0.14791369438171387,ceo_lastname
full_qr_ablation,McCraw,37748_1993.txt_ceo_lastname_63,-3.872650384902954,2,,,-7.745300769805908,ceo_lastname
edge_gold,McCraw,37748_1993.txt_ceo_lastname_63,-0.10860491544008255,2,2456,2386,-0.2172098308801651,ceo_lastname
edge_distractor,McCraw,37748_1993.txt_ceo_lastname_63,-0.07381980866193771,2,876,806,-0.14763961732387543,ceo_lastname
edge_random,McCraw,37748_1993.txt_ceo_lastname_63,-0.07383774220943451,2,662,592,-0.14767548441886902,ceo_lastname
edge_nonqr_gold,McCraw,37748_1993.txt_ceo_lastname_63,-0.08766327053308487,2,2456,2386,-0.17532654106616974,ceo_lastname
edge_bottom_gold,McCraw,37748_1993.txt_ceo_lastname_63,-0.07410793751478195,2,2456,2386,-0.1482158750295639,ceo_lastname
clean,Bogle,801124_1993.txt_ceo_lastname_134,-0.0008959175902418792,2,,,-0.0017918351804837584,ceo_lastname
full_qr_ablation,Bogle,801124_1993.txt_ceo_lastname_134,-2.386334180831909,2,,,-4.772668361663818,ceo_lastname
edge_gold,Bogle,801124_1993.txt_ceo_lastname_134,-0.001240546116605401,2,2834,2796,-0.002481092233210802,ceo_lastname
edge_distractor,Bogle,801124_1993.txt_ceo_lastname_134,-0.0008972862851805985,2,946,908,-0.001794572570361197,ceo_lastname
edge_random,Bogle,801124_1993.txt_ceo_lastname_134,-0.0008961553685367107,2,1622,1584,-0.0017923107370734215,ceo_lastname
edge_nonqr_gold,Bogle,801124_1993.txt_ceo_lastname_134,-0.0008892528712749481,2,2834,2796,-0.0017785057425498962,ceo_lastname
