head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
6,26,0.00020483942124236812,8.963104220757922e-10,12,attn:26-6,attn,0.5,ceo_lastname
7,26,0.0003259845967431099,3.4193654520099214e-05,12,attn:26-7,attn,0.6666666666666666,ceo_lastname
8,26,0.00018386022781462536,6.937834325499972e-10,12,attn:26-8,attn,0.5,ceo_lastname
9,26,0.00013894893384863802,-7.704729912005592e-09,12,attn:26-9,attn,0.4166666666666667,ceo_lastname
0,27,0.00013836574703712063,2.2586452933223655e-07,12,attn:27-0,attn,0.5833333333333334,ceo_lastname
1,27,0.00014418907639291185,-4.808518198519413e-07,12,attn:27-1,attn,0.4166666666666667,ceo_lastname
10,27,-4.756564921088797e-05,-9.331994489049322e-09,12,attn:27-10,attn,0.4166666666666667,ceo_lastname
11,27,-0.0002589915305681091,-0.0002569930636627971,12,attn:27-11,attn,0.4166666666666667,ceo_lastname
12,27,0.0005532187225752184,2.609947198640466e-09,12,attn:27-12,attn,0.5,ceo_lastname
13,27,0.0001494532914763964,3.36807933545635e-08,12,attn:27-13,attn,0.6666666666666666,ceo_lastname
14,27,0.00042720175270877323,-8.560811013339547e-10,12,attn:27-14,attn,0.4166666666666667,ceo_lastname
15,27,-0.00010430105195342719,4.826209756252805e-08,12,attn:27-15,attn,0.6666666666666666,ceo_lastname
16,27,0.006246586832289554,0.003122538880569437,12,attn:27-16,attn,0.9166666666666666,ceo_lastname
17,27,0.0001619850161602825,-1.6521961957321443e-08,12,attn:27-17,attn,0.3333333333333333,ceo_lastname
18,27,0.0001044535875613746,2.8445120734549886e-08,12,attn:27-18,attn,0.5,ceo_lastname
19,27,5.5014685908064686e-05,3.808060003343718e-07,12,attn:27-19,attn,0.75,ceo_lastname
2,27,0.0001118477958759353,-1.6150555210795822e-07,12,attn:27-2,attn,0.4166666666666667,ceo_lastname
20,27,0.04278887411728425,0.02191554577908644,12,attn:27-20,attn,0.75,ceo_lastname
